agachar,"<ul>  <li>to bend down, crouch, squat, hunker down</li>  <li>to lower, to duck</li></ul>",V,,,
opinar,<ul>  <li>to think; be of the opinion</li>  <li>to express one's opinion; opine</li></ul>,V,,,
pulsar,to press,V,,computing,
el núcleo,nucleus,N,m,,
el/la guardaespaldas,bodyguard,N,m/f,,"escolta,  espaldero"
flotar,to float,V,,,
el poema,poem ,N,m,,
"bastardo, bastarda",bastard,Adj,,,
federal,"<ul>  <li>federal, a federal law enforcement officer</li>  <li>the scarlet-headed blackbird, Amblyramphus holosericeus</li></ul>",Adj,,,
el concurso,"<ul>  <li>game show, bankruptcy, cooperation; aid</li>  <li>competition, concourse</li></ul>",N,m,,"competición, competencia"
el trono,throne,N,m,,
la veras,"serious things, truth; reality",N,f,,
la corona,"<ul>  <li>washer, crown, wreath; ring, circle</li>  <li>crown, sprocket; cassette, larger part of a pair of gear wheels</li>  <li>crown, corona</li></ul>",N,f,,
pescar,"<ul>  <li>to mind, pay attention (a person)</li>  <li>to get, fish, catch</li>  <li>to screw, get action (have sex)</li>  <li>to angle, search, or fish for information</li></ul>",V,,,
el aterrizaje,landing ,N,m,,
el pedazo,"<ul>  <li>slab, lump, patch, piece, chunk, hunk, bit, bite</li>  <li>shard, scrap</li></ul>",N,m,,"cacho, pieza, trozo, parte,  chonque"
la copia,"copy, abundance",N,f,,
impresionante,"stunning, breathtaking, striking, impressive, awesome, amazing",Adj,,,
